,end station name,# of trips
114,MIT at Mass Ave / Amherst St,175815
112,MIT Stata Center at Vassar St / Main St,128496
83,Harvard Square at Mass Ave/ Dunster,122439
42,Central Square at Mass Ave / Essex St,110745
6,Ames St at Main St,85153
103,Lafayette Square at Mass Ave / Main St / Columbia St,82389
129,One Kendall Square at Hampshire St / Portland St,73369
40,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,70706
94,Inman Square at Vellucci Plaza / Hampshire St,60367
128,One Broadway / Kendall Sq at Main St / 3rd St,56326
